60,3543.6,60,1021.4
115,90546.8,115,1775.4
136,193397,136,2114.6
76,23092.8,76,1245.2
98,52822.4,98,1538.4
53,4186.6,53,893.2
40,4371.6,40,732.8
81,1086.4,81,1328.6
79,8060.2,79,1286.6
48,4835.2,48,823.6
61,2991.8,61,1034.4
39,3232.4,39,668.4
86,33473.8,86,1319.8
37,3679.4,37,647.6
25,1543.8,25,443
80,8332.6,80,1285.6
68,16512.4,68,1089
27,1391,27,462.8
122,116551,122,1877.4
77,22633.6,77,1237
85,28181.8,85,1352.4
16,651.2,16,268.8
24,1452.4,24,452.2
23,1269.8,23,400.8
61,7059,61,1071.2
151,286488,151,2127.4
26,1714.8,26,447
10,325.8,10,172.2
76,18673.4,76,1190
27,1820.2,27,472.8
21,584,21,357
22,429.6,22,373
107,55017.6,107,1660.6
88,8497.4,88,1482.8
42,771.6,42,735.2
51,4764.2,51,876.8
173,521869,173,2477.4
74,16267.2,74,1174.2
100,35323.8,100,1699
79,19523.8,79,1251.4
80,3961.4,80,1364.8
107,72411.4,107,1716
19,720,19,321.2
181,637575,181,2521.2
104,66621,104,1501.4
53,8568,53,882.8
26,1724,26,445.2
70,12416.6,70,1154.8
64,13194.6,64,1049.2
117,104207,117,1684.6
65,13315.6,65,1115
53,5572,53,929.4
42,3332.4,42,724.8
85,14998.2,85,1317.4
55,9115.4,55,947.8
40,4557,40,717.2
56,9823.2,56,936.2
33,2621.6,33,569.6
94,5971,94,1478.8
52,8185.8,52,899.2
28,1614.4,28,484.6
63,7521,63,1111.2
57,9811.2,57,940.2
36,2650.8,36,620.4
14,284.6,14,232.2
69,11587.8,69,1103
43,2893.8,43,729.8
110,72027.6,110,1664.4
29,1365.6,29,496
40,1728,40,688.2
88,35735.4,88,1382.8
132,109200,132,1869.2
94,17691.4,94,1450.2
105,16359.6,105,1656.8
100,47568.6,100,1637.8
41,4115.2,41,698.4
72,18414.2,72,1179
104,26494,104,1615.2
14,360.6,14,231
116,51988.8,116,1721.6
73,2186.8,73,1221.6
143,227893,143,2030.6
129,133015,129,1801.8
27,554.8,27,535.2
57,9617.4,57,952.2
74,8284.8,74,1240.6
